DJjwrx	fruehkaiserzeitlich
nGdDEw	2ndHalfFirstCentury
OarQma	Usurpator
kGMnOG	Galba
y1Ww6A	Otho
KY4znG	Vespasian
pzx9ey	Titus
BZpg1E	Domitian
Z4jMAJ	Nerva
r43oBb	Trajan
XLl768	Vitellius
P0Nq2o	DomitianConsulate2

-- distances [0.0;3.1025125253574726]

      	DJjwrx	nGdDEw	OarQma	kGMnOG	y1Ww6A	KY4znG	pzx9ey	BZpg1E	Z4jMAJ	r43oBb	XLl768	P0Nq2o	
DJjwrx	0,0000	0,7690	2,6215	1,6247	1,6247	0,5474	0,5293	0,5734	0,5293	0,3352	2,5462	1,5111	
nGdDEw	0,7690	0,0000	2,4059	1,4499	1,4499	0,2861	0,3409	0,3333	0,3409	1,1038	2,2302	1,2335	
OarQma	2,6215	2,4059	0,0000	1,0007	1,0007	2,3639	2,5935	2,6151	2,5935	2,7650	0,3646	3,1025	
kGMnOG	1,6247	1,4499	1,0007	0,0000	0,0000	1,3807	1,6115	1,6325	1,6115	1,7896	0,9426	2,2426	
y1Ww6A	1,6247	1,4499	1,0007	0,0000	0,0000	1,3807	1,6115	1,6325	1,6115	1,7896	0,9426	2,2426	
KY4znG	0,5474	0,2861	2,3639	1,3807	1,3807	0,0000	0,2308	0,3782	0,2308	0,8705	2,2266	1,4207	
pzx9ey	0,5293	0,3409	2,5935	1,6115	1,6115	0,2308	0,0000	0,3058	0,0000	0,8489	2,4515	1,3738	
BZpg1E	0,5734	0,3333	2,6151	1,6325	1,6325	0,3782	0,3058	0,0000	0,3058	0,8959	2,4642	1,0801	
Z4jMAJ	0,5293	0,3409	2,5935	1,6115	1,6115	0,2308	0,0000	0,3058	0,0000	0,8489	2,4515	1,3738	
r43oBb	0,3352	1,1038	2,7650	1,7896	1,7896	0,8705	0,8489	0,8959	0,8489	0,0000	2,7293	1,7414	
XLl768	2,5462	2,2302	0,3646	0,9426	0,9426	2,2266	2,4515	2,4642	2,4515	2,7293	0,0000	2,9070	
P0Nq2o	1,5111	1,2335	3,1025	2,2426	2,2426	1,4207	1,3738	1,0801	1,3738	1,7414	2,9070	0,0000	

